name,team,gradClass,position,height,weight,highSchool,homeTown_city,homeTown_state
Juan Carlos Alvarez,American University,So,GK,6'3,,,McAllen, Texas
Dominic Dominguez,American University,Sr,GK,5'11,,Atlantic Coast,Jacksonville, Fla.
Jonah Fogel,American University,Jr,D,5'10,,Shattuck-St. Mary's,Brooklyn, N.Y.
Rex-Emmanuel Cobbina,American University,Fr,D,5'10,,York Mills Collegiate Institute,Toronto, Ontario
Cooper Nunn,American University,Gr,D,6'0,,Gleeson College,Adelaide, Australia
Nicholas Shirley,American University,Sr,D,6'0,,Northwest,Germantown, Md.
Taku Takahashi,American University,Sr,D,5'9,,Sendai,Miyagi, Japan
Miles Lam,American University,Sr,M,5'10,,Mount St. Joseph's,Linthicum, Md.
Tim Schliemann,American University,Jr,M,5'10,,,Berlin, Germany
Sam Hershey,American University,Sr,F,6'3,,McCaskey,Lancaster, Pa.
Dilane Zouantcha,American University,Sr,F,5'8,,Northwest,Yaounde, Cameroon
Zemi Rodriguez,American University,Sr,M,5'9,,St. Benedict's Prep,Goshen, N.Y.
Moad Ezzahir,American University,Fr,M,5'11,,John R. Lewis,Springfield, Va.
Ian Webb-Johnson,American University,So,D,6'3,,TECCA Connections Academy,Westwood, Mass.
Kobe Keomany,American University,Fr,M,5'9,,McDonogh School,White Marsh, Md.
Sebastian Garces,American University,Jr,M,5'9,,Freedom,Bethlehem, Pa.
Reyes Parra,American University,So,M,5'7,,Shattuck-St. Mary's,Round Lake, Ill.
Leo Palomo,American University,Sr,M,6'0,,Northwest,Boyds, Md.
Colin O'Brien,American University,Fr,F,6'1,,St. Peter's Prep,Hoboken, N.J.
Mustapha Sowe,American University,Sr,F,5'10,,Harrison,East Newark, N.J.
Jared Weber,American University,So,M,5'9,,Justice,Falls Church, Va.
Toshi Davis,American University,Jr,M,5'8,,Towson,Baltimore, Md.
Ethan Boyle,American University,Gr,M,6'2,,Denver East,Denver, Colo.
Owen Edsell,American University,So,D,6'1,,Montclair,Montclair, N.J.
Chris Sullivan,American University,Fr,M,5'6,,Southampton,Southampton, N.Y.
Oliver Snowdon,American University,Fr,M,5'8,,Shattuck-St. Mary's,Lorton, Va.
Javi Gonzalez,American University,Fr,M,5'9,,Maspeth,Woodside, N.Y.
Patryk Rojek,American University,Fr,F,5'11,,Taft,Chicago, Ill.
Troy Elgersma,American University,Jr,M,6'3,,Redlands,Redlands, Calif.
Matthew Tibbetts,American University,Jr,GK,6'2,,K12 Private Academy,Westborough, Mass.
Peter Van Euwen,Bellarmine University,Gr,Goalkeeper,5'11,180,St. Ignatius,Avon Lake, OH
Tudor Iordan,Bellarmine University,Jr,Goalkeeper,6'3,175,College Bois-de-Boulogne,Laval, Quebec
Cade Morgan,Bellarmine University,R-Jr,Midfielder,5'10,165,Lakota West,West Chester, OH
Michael Voulgaris,Bellarmine University,So,Defender,6'0,160,Oshkosh West,Van Dyne, WI
Alex Halevy,Bellarmine University,R-Jr,Forward,6'2,170,Garces Memorial,Bakersfield, CA
Brendan Schoemehl,Bellarmine University,Gr,Midfielder,6'1,182,De Smet Jesuit,St. Louis, MO
Johan Nissen-Lie,Bellarmine University,So,Forward,6'3,176,Donski Videregaende Skole,Asker, Norway
Tate McCrery,Bellarmine University,R-Jr,Midfielder,6'2,165,Ballard,Louisville, KY
Sawyer Gribble,Bellarmine University,So,Defender,6'4,190,Woodford County,Versailles, KY
Bennett Kirn,Bellarmine University,R-Jr,Defender,6'2,190,Lexington Catholic,Lexington, KY
Luke Gonda,Bellarmine University,So,Midfielder,6'0,155,Schaumburg,Schaumburg, IL
Jeffrey Cox,Bellarmine University,R-Jr,Defender,6'2,190,St. Xavier,Louisville, KY
Rhys Davies,Bellarmine University,Sr,Defender,6'1,175,Auckland Grammar School,Waipu, New Zealand
Jackson Marks,Bellarmine University,R-Sr,Midfielder,5'9,155,St. Xavier,Louisville, KY
Sawyer Trowel,Bellarmine University,So,Midfielder,6'0,175,Lafayette,Lexington, KY
James Gardev,Bellarmine University,Sr,Defender,6'0,170,Shattuck-Saint Mary's,Lexington, KY
Braden Griffin,Bellarmine University,R-Jr,Defender,6'2,185,West Ottawa,Zeeland, MI
Nick Harshaw,Bellarmine University,So,Midfielder,5'9,140,Louisville Collegiate,Louisville, KY
Ethan Jacobs,Bellarmine University,Jr,Midfielder,5'10,162,Bay,Bay Village, OH
Collin Folds,Bellarmine University,Sr,Midfielder,6'1,180,Saint Ignatius,Berea, OH
Teddy Franke,Bellarmine University,So,Forward,6'2,165,Rockhurst HS,Leawood, KS
Jackson Jones,Bellarmine University,So,Midfielder,6'2,180,Carmel,Carmel, IN
Martin Cadagan,Bellarmine University,So,Defender,6'2,187,Colegio Pumahue Chicureo,Santiago, Chile
Alessandro Rincon,Bellarmine University,So,Midfielder,5'8,155,Bradenton Christian,Bradenton, FL
Jimmy McCamey,Bellarmine University,So,Midfielder,5'10,160,St. Anne-Pacelli Catholic,Cataula, GA
Gavin Thompson,Bellarmine University,R-So,Goalkeeper,6'5,205,Goshen,Goshen, OH
Miles Kipley,Belmont University,R-Fr,Goalkeeper,6'2,180,Independence HS,Franklin, Tenn.
Grant Calvert,Belmont University,Gr,Goalkeeper,6'2,185,Blue Valley HS,Stilwell, Kan.
Parker Forbes,Belmont University,Gr,Defender,6'1,165,Cedar Park HS,Cedar Park, Texas
Riley Clothier,Belmont University,Sr,Defender,6'3,175,Oakland HS,Murfreesboro, Tenn.
Griffin Moore,Belmont University,Jr,Defender,6'3,170,Cherry Creek HS,Eagle, Colo.
Nate Mefford,Belmont University,R-Jr,Defender,6'3,190,Homeschool,Cincinnati, Ohio
Brad Dildy,Belmont University,Sr,Midfielder,6'0,170,Smithson Valley HS,San Antonio, Texas
Caleb Robertson,Belmont University,So,Midfielder,6'1,170,Dacula HS,Dacula, Ga.
Jimiyu Mark,Belmont University,R-Sr,Forward,5'6,148,Klein HS,Houston, Texas
Lucas Wolthers,Belmont University,R-So,Forward,6'1,180,Merrol Hyde Magnet School,Hendersonville, Tenn.
Hayden Robinson,Belmont University,Fr,Defender,6'2,161,Oceanside Collegiate Academy,Charleston, S.C.
AJ Elliott,Belmont University,Jr,Defender,5'9,150,Franklin HS,Franklin, Tenn.
Brock Kiper,Belmont University,R-Jr,Forward,6'5,175,Archbishop Moeller HS,Mason, Ohio
Simeon Betapudi,Belmont University,R-Jr,Midfielder,5'10,155,Memphis University School,Collierville, Tenn.
Emmanuel Aranda,Belmont University,So,Midfielder,6'1,180,Vandegrift HS,Austin, Texas
Dylan Steely,Belmont University,R-Sr,Defender,6'2,180,Hoover HS,Hoover, Ala.
Ethan Schlegel,Belmont University,R-Jr,Midfielder,6'3,193,Station Camp HS,Gallatin, Tenn.
Oscar Hough,Belmont University,Sr,Midfielder,6'1,164,Wellington College,Wellington, New Zealand
Dru Stanton,Belmont University,R-So,Defender,6'1,175,McIntosh HS,Peachtree City, Ga.
Patrick Reddy,Boston College,Jr,D,6'2,185,H Frank Carey,Franklin Square,N.Y.
Christian Bejar,Boston College,Jr,D,5'9,160,Brooks School,Lawrence,Mass.
Bryan Toro,Boston College,Fr,D,6'0,170,IFA New England,Revere,Mass.
Sander Martinsen-Wold,Boston College,Fr,M,6'0,176,Moss FK,Vestby,Norway
Aidan Farwell,Boston College,Sr,F/M,6'0,160,Milton Academy,Scituate,Mass.
Ask Ekeland,Boston College,Jr,M,6'3,190,St. Svithun VGS,Stavanger,Norway
Michael Asare,Boston College,Fr,F,6'0,148,Rush Select Academy,Kumasi,Ghana
Marci Killeen,Boston College,R-So,M,6'0,175,Brea Olinda High School,Brea,Calif.
Max Andrews,Boston College,Jr,D,6'2,202,Army,Wilton,Conn.
Connor Gibson,Boston College,Jr,M,6'0,163,Boston Bolts,Newton,Mass.
Marco Dos Santos,Boston College,So,M,5'9,150,Revolution Academy,Windham,N.H.
Erick Almendares,Boston College,Jr,M,5'10,165,Friends Academy,East Meadow,N.Y.
Jack Burkhardt,Boston College,So,M/D,6'0,168,Revolution Academy,Sutton,Mass.
Devon Galluzzo,Boston College,Fr,D,6'1,155,Barca Academy AZ,Commack,N.Y.
CJ Williams,Boston College,Jr,D,6'2,183,Valley Stream,Valley Stream,N.Y.
Moritz Gundelach,Boston College,So,D,6'2,172,FC Nuremberg,Stockstadt,Germany
Dylan Mafong,Boston College,Fr,M,5'9,150,Albion SC,San Diego,Calif.
Simba Odhiambo,Boston College,So,M/D,6'2,185,Shattuck St. Mary’s,Austin,Texas
Sebastian Pliszka,Boston College,So,GK,6'4,188,Loomis Chaffee,Newington,Conn.
Bryce Copeland-Del Toro,Boston College,Jr,GK,6'0,165,Florida Gulf Coast,Coral Springs,Fla.
Leo Seidel,Boston College,So,GK,6'3,200,Lexington,Lexington,Mass.
Patrick Donovan,Boston College,Jr,GK,6'2,190,Staples,Westport,Conn.
Johannes Hanken Tjostheim,Boston College,Jr,F,6'2,185,Fagerlia VGS Toppidrett,Aalesund,Norway
Dilen Patel,Boston College,,Academic Year Gr.,,,Team Impact,Needham,Mass.
Nikolai Rojel,Boston College,Jr,F,6'2,190,UCLA,Copenhagen,Denmark
William Clavier,Boston University,So,GK,6'5,180,Gainesville,Gainesville, Fla.
Andrew Wike,Boston University,Gr,GK,5'11,175,Edwardsville,Edwardsville, Ill.
Ryan Lau,Boston University,Jr,D,6'1,170,YSC Academy,Ambler, Pa.
Ben Mazza-Bergeron,Boston University,So,D,5'11,165,Worcester Academy,Burlington, Vt.
Neal Carlson,Boston University,Sr,D,5'10,170,McCallie (Tenn.),Birmingham, Ala.
Diego Rived,Boston University,Jr,M,5'11,165,Doral Academy Prep (Fla.),Zaragoza, Spain
Andrea Di Blasio,Boston University,So,F,6'1,175,Leon M. Goldstein,Brooklyn, N.Y.
Daniel Kim,Boston University,Sr,M,5'9,165,Earl Haig Secondary School,Toronto, Ont.
Alex Bonnington,Boston University,Jr,F,6'1,180,Wickersley School & Sports College,Rotherham, England
Andrew Rent,Boston University,Sr,F,5'10,160,Gorham,Gorham, Maine
Quin DeLaMater,Boston University,Jr,D,6'2,185,Hillgrove,Marietta, Ga.
Aidan Kieffer,Boston University,Jr,D,6'5,195,South Kent School (Conn.),Portland, Maine
Giuseppe Bagnato,Boston University,Jr,D,5'10,155,Xaverian,Brooklyn, N.Y.
John Roman,Boston University,Jr,D,6'4,190,Bainbridge,Bainbridge Island, Wash.
Markus Ramsey,Boston University,Fr,M,5'9,155,Langley,McLean, Va.
Dylan Williams,Boston University,Fr,F,6'0,175,Sidwell Friends School,Glenn Dale, Maryland
Tyler Johnson,Boston University,Sr,F,5'9,165,Burlingame (Calif.),Miami, Fla.
Charlie Tuckerman,Boston University,So,D,6'1,165,Columbus Academy,Columbus, Ohio
Damola Salami,Boston University,Jr,F,6'0,170,Greater Atlanta Christian,Atlanta, Ga.
Jason Zacarias,Boston University,So,M,5'11,150,Billerica Memorial,Billerica, Mass.
Andrew Soczynski,Boston University,Sr,D,5'10,160,Shattuck St. Mary's,Maple Grove, Minn.
Keke Abai,Boston University,So,F,5'10,165,Stillwater,Stillwater, Okla.
Ben Alexander,Boston University,Jr,GK,6'4,205,University Hill Secondary School,Chilliwack, B.C.
Aidan Holmes,Boston University,Sr,M,5'10,155,Corona del Mar,Newport Beach, Calif.
Aidan Bone,Boston University,Gr,F,6'1,180,Longmeadow,Longmeadow, Mass.
Luke Dunne,Boston University,So,M,5'11,155,James M. Bennett,Salisbury, Md.
Kevin Torres,Boston University,Sr,M,5'7,135,Glendora,Azusa, Calif.
Sheraz Saadat,Boston University,Jr,GK,6'6,200,Briar Woods,Ashburn, Va.
Gus Peacock,Bowling Green State University,Jr,D,6'0,175,Wyoming,Wyoming,Ohio
Tim Koczulap,Bowling Green State University,Jr,D,6'0,163,Leibniz-Gymnasium Potsdam,Berlin,Germany
Amer Dedic,Bowling Green State University,R-Jr,D,6'4,191,Friedrich List,Ulm,Germany
Ryko Bodurov,Bowling Green State University,So,M,5'7,,Olentangy Berlin,Columbus,Ohio
Andrew Shaffer,Bowling Green State University,Sr,M,6'0,168,St. Francis DeSales,Galena,Ohio
Anthony Hernandez,Bowling Green State University,Jr,M,5'7,135,Central,Pickerington,Ohio
Bennett Painter,Bowling Green State University,Jr,F,5'8,150,Anderson,Cincinnati,Ohio
Aiden Ptacek,Bowling Green State University,R-So,M,5'7,150,University School,Hudson,Ohio
Mads Christensen,Bowling Green State University,Jr,M,6'1,157,Campus Vejle,Copenhagen,Denmark
Saul Rios,Bowling Green State University,Jr,D,6'0,165,Central Crossing,Columbus,Ohio
Trace Terry,Bowling Green State University,Sr,F,6'2,184,Bellbrook,Bellbrook,Ohio
Will Schutte,Bowling Green State University,R-So,GK,6'0,175,Colerain,Cincinnati,Ohio
Jason Ball,Bowling Green State University,R-So,GK,6'3,180,Miamisburg,Miamisburg,Ohio
Henrik Weiper,Brown University,Sr,GK,,,Otto-Schott-Gymnasium Mainz Gonsenheim,Mainz,Germany
Iyke Dafe,Brown University,Jr,D,,,Elkins High School,Missouri City,Texas
Greyson Mitchell,Brown University,Sr,D,,,Heritage,Littleton,Colo.
Stefano D'Agostini,Brown University,So,D,,,Immaculate La Salle,Miami,Fla.
Mathias Hille,Brown University,Jr,M/D,,,Albert Einstein Schule,Frankfurt,Germany
Langdon Gryglas,Brown University,Sr,M/D,,,Arrowhead,Hartland,Wis.
Mads Stistrup Petersen,Brown University,Sr,M/D,,,Tietgen Handelsgymnasium,Odense,Fyn
James Snaith,Brown University,So,M,,,Yorktown,Arlington,Va.
Carlo Brown,Brown University,Jr,F,,,The Beacon School,New York,N.Y.
Lorenzo Amaral,Brown University,Jr,F,,,Oviedo,Orlando,Fla.
Jamin Gogo Peters,Brown University,Sr,F,,,Baker Web Academy,Forest Grove,Ore.
Nicholas Sanchez,Brown University,Jr,D,,,Northern Valley Regional - Demarest,Closter,N.J.
Isaiah Robledo,Brown University,Fr,D,,,Dos Pueblos Senior High School,Santa Barbara,Calif.
Mateo Pereyra,Brown University,Fr,F,,,Somerset Virtual Academy,Key Biscayne,Fla.
Shayne Thompson,Brown University,Jr,D,,,Archbishop McCarthy,Miramar,Fla.
Marshall Treese,Brown University,Fr,M,,,Shattuck Saint Mary’s,Naples,Fla.
Zion Wharton,Brown University,Jr,M,,,Mount Vernon School,Atlanta,Ga.
Timi Browne,Brown University,So,F,,,Holy Spirit Preparatory School,Atlanta,Ga.
Adolfo Diaz,Brown University,Sr,M,,,Shattuck St. Mary's,Arlington Heights,Ill.
Kitan Akindele,Brown University,Fr,F,,,Harrow School,Lagos,Nigeria
Heechan Han,Brown University,Jr,D,,,Cypress Bay,Weston,Fla.
Diego Elizalde,Brown University,Jr,F/M,,,Baker Charter School,Newport,Ore.
Sawyer Turiace,Brown University,Fr,M,,,Elk Grove Charter School,Auburn,Calif.
Max Pfaffman,Brown University,So,G,,,Boerum Hill International,Brooklyn,N.Y.
Jonah Esposito,Brown University,Fr,D,,,Harrow School,Chelsea,London
Carter Smith,Brown University,Jr,D,,,The Trinity School,Jersey City,N.J.
Ben Voellmicke,Brown University,Fr,GK,,,Ridgefield High School,Ridgefield,Conn.
Will Levine,Bryant University,Sr,GK,6'1,170,Boerum Hill School For International Studies,Brooklyn, N.Y.
Ramon Camejo,Bryant University,So,GK,6'0,158,ASU Prep,Monroe, NJ
Abdel Talabi,Bryant University,Gr,D,6'2,185,Nauset Regional High School,Brewster, Mass
Santiago Blasco Gomez,Bryant University,Gr,M,5'10,161,Universidad de Valencia,Alborache, Spain
Jaiden Willems,Bryant University,Sr,M,5'9,158,Suffield Academy,Belchertown, Mass.
Tibo Jacobs,Bryant University,Gr,D,5'10,168,Free University Brussels,Kampenhout, Belgium
Jorge Veintimilla,Bryant University,Sr,M,5'6,156,Universidad Catolica de Valencia,Valencia, Spain
Jorge Rodriguez,Bryant University,Jr,F,5'11,160,Colegio San Jose,Guaynabo, Puerto Rico
Tomas Sentieiro,Bryant University,Gr,F,5'8,145,Faculdade de Motricidade Hiumana,Torress, Novas
Marc Pitarch Bayot,Bryant University,Gr,F,6'3,188,Jaune I University,Ares del Maestrat, Spain
Christien Merritt,Bryant University,Sr,D,5'10,163,Philips Academy Andover,Montclair, N.J.
Joseph Perrotta,Bryant University,So,D,5'6,145,Lincoln-Sudbury Regional High School,Oakville, ON
Sean Breuer,Bryant University,Sr,D,5'11,155,Bolles School,Jacksonville, Fla.
Filipe Bastos,Bryant University,Gr,D,5'7,145,Faculdade de desporto do Porto,Santa Maria de Faria, Portugal
David Nuricumbo,Bryant University,Sr,M,5'8,135,Point Loma High School,San Diego, Calif.
Jose Alves Faria,Bryant University,Gr,M,5'9,168,Escola Superior Desporto de Rio Maior,Torres Novas, Portugal
Colby Webber,Bryant University,So,,,,Marshfield,Marshfield, Mass.
Rex Alphen,Bucknell University,So,GK,6'5,205,St. Christopher's,Richmond,Va.
Freddie Lapworth,Bucknell University,Jr,GK,6'1,194,Banbury Academy,Banbury,England
Andrew Blodgett,Bucknell University,Fr,GK,6'3,195,Bergen Catholic,Ridgewood,N.J.
Cade McGrath,Bucknell University,Jr,F,5'10,155,Moorestown,Moorestown,N.J.
Drew Roskos,Bucknell University,Fr,F,5'8,170,Delran,Delran,N.J.
Gianluca Marroni,Bucknell University,Fr,M,6'0,170,Salesianum School,Wilmington,Del.
Matt McLeod,Bucknell University,Fr,M/D,6'2,145,Fairfield Prep,Orange,Conn.
Jimmy Pombor,Bucknell University,Jr,M,5'4,145,Williamsport Area / Lock Haven,Williamsport,Pa.
Zane Domsohn,Bucknell University,Jr,F,5'11,165,Bishop Shanahan,Downingtown,Pa.
Waldemar Kattrup,Bucknell University,Sr,M,5'10,155,Falkonergaardens Gymnasium / St. John's,Copenhagen,Denmark
Jack Roberto,Bucknell University,Sr,M,6'1,180,Howell,Howell,N.J.
Kasper Piela,Bucknell University,So,F,6'0,170,Fair Lawn,Fair Lawn,N.J.
Jack Lucas,Bucknell University,So,M,6'0,165,Shawnee Mission East,Leawood,Kan.
Collin Sullivan,Bucknell University,Fr,D,6'3,185,Lyons Township,La Grange Park,Ill.
Noah Handzel,Bucknell University,Fr,M/D,5'8,150,Cathedral Prep,Erie,Pa.
Charlie Sorensen,Bucknell University,Fr,M,6'0,165,Aquinas Institute,Rochester,N.Y.
David Krumov,Bucknell University,So,F/M,5'10,152,Lebanon Trail,Dallas,Texas
Ben Sheffield,Bucknell University,Jr,D,6'4,200,Grosse Pointe North,Grosse Pointe Woods,Mich.
Jakub Samelko,Bucknell University,So,F,6'1,170,Cherry Hill East,Cherry Hill,N.J.
Jackson Sullivan,Bucknell University,Jr,D,6'3,185,Lyons Township,La Grange Park,Ill.
Cohen Weaver,Bucknell University,Jr,M,5'8,150,Elizabethtown Area / Penn State,Elizabethtown,Pa.
Winston Oziri,Bucknell University,So,F,5'11,170,Jackson-Reed,Washington,D.C.
Cade Whitmire,Bucknell University,So,M,5'8,165,Keller / Tulsa,Keller,Texas
Aidan Lawlor,Bucknell University,Sr,D,6'1,150,Delbarton School,Morristown,N.J.
Jack Heintz,Bucknell University,So,D,6'0,175,Bethesda Chevy Chase,Chevy Chase,Md.
Nick Prime,Bucknell University,Sr,F,5'9,145,Garden City,Garden City,N.Y.
Kiko Hidalgo,Bucknell University,So,M,5'11,165,Montgomery Blair,Silver Spring,Md.
Mason Lillis,Bucknell University,So,F,6'0,165,Tulpehocken,Bernville,Pa.
Vygo Verkooijen ,Butler University,Sr,D,6'0,175,Rodenborch College,Dongen, Noord Brabant
Manolo Ferreres,Butler University,Jr,D,6'2,180,IES Miralcamp,Deltebre, Catalonia
Oscar Dawber,Butler University,Fr,D,6'0,165,Huddersfield Grammar,Huddersfield, England
Joost de Schutter,Butler University,Gr,M,5'10,170,Sint-Joriscollege,Geldrop, Netherlands
Ernesto Osornio,Butler University,Gr,F,5'10,155,Ironwood,Phoenix, Ariz.
Josemir Gomez,Butler University,Sr,F,6'2,185,North Central,,
Brendan Cunningham,Butler University,R-Fr,F,6'0,170,St. Louis University,St. Louis, Mo.
Ryan  Hannosh,Butler University,Jr,F,5'8,155,University of Detroit Jesuit,Farmington Hills, Mich.
Kai Pope,Butler University,So,M,6'1,150,St. Louis City,St. Louis, Mo.
Lou-Kent Bosc,Butler University,Sr,D,5'10,150,Paris Saint-Germain,Nogent-sur-Marne, France
Trent Lindsey,Butler University,So,D,6'0,165,Hamilton,Gilbert, Ariz.
Sam Pitts-Eckersall,Butler University,Sr,M,5'11,170,Chipping Campden,Stratford-upon-Avon, UK
Peter Tolkin,Butler University,R-Jr,D,6'3,180,Chatham,Chatham, N.J.
Nikolas Juarez,Butler University,R-So,D,6'1,171,ASU Prep Academy - Casa Grande,Aurora, Ill.
Luca Raso,Butler University,R-So,M,5'9,145,Marian Central Catholic,West Dundee, Ill.
Jameson Metz,Butler University,R-So,GK,6'1,162,Colonel Zadok Magruder HS,Derwood, Md.
Brooks Boersma,Butler University,R-So,GK,6'1,167,Haslett HS,Haslett, Mich.
Kyle Alb,Butler University,Gr,D,6'2,190,Crown Point HS,Crown Point, Ind.
Aiden Benitez,Butler University,Fr,F,5'8,160,Blue Valley West,Kansas City, Kan.
Aurie Briscoe,Butler University,Gr,GK,6'1,180,St. Benedict's Prep,Englewood, New Jersey
Nacho de Miguel,Butler University,Fr,M,5'11,165,Holy Mary British Catholic,Madrid, Spain
Inigo Esmanech,Butler University,Fr,GK,6'3,190,K12 Private Academy,Sacramento, California
Charlie Hosier,Butler University,Fr,M,5'10,155,Lakewood Ranch HS,Lakewood Ranch, Fla.
Max Klein,Butler University,Fr,M,5'11,180,Nordpfalzgymnasium,Immesheim, Rhineland-Palatinate
Evan Muckridge,Butler University,Fr,D,6'1,170,Carmel HS,Carmel, Ind.
Bernardo Raposo,Butler University,Fr,M,6'1,170,Escola Santos Dumont,Rio de Janeiro, Brasil
Hugo Do Rego,California Baptist University,So,Goalkeeper,6'1,180,,Sandweiler, Luxembourg
David Cordes,California Baptist University,Sr,Defender,5'11,160,,Phoenix, Ariz.
Michael Mor,California Baptist University,Fr,Defender,6'2,180,,Tel Aviv, Israel
Otto Gustafsson,California Baptist University,So,Defender,6'2,188,,Boras, Sweden
Erik Krohnstad,California Baptist University,So,Midfielder,6'0,163,,Bergen, Norway
Alex Henderson,California Baptist University,Gr,Defender,6'3,195,,Ipswich, England
Josh Hallenberger,California Baptist University,Gr,Winger,5'10,160,,San Antonio, Texas
Stavros Charalampous,California Baptist University,So,Midfielder,5'8,164,,Nicosia, Cyprus
Leo Mendez,California Baptist University,Gr,Striker,5'10,149,,Perris, Calif.
Drew Hardin,California Baptist University,So,Midfielder,5'11,155,,West Palm Beach, Flo.
Luis Borrero,California Baptist University,So,Winger,5'8,154,,Hamburg, Germany
Jan Quispel,California Baptist University,Gr,Midfielder,5'8,170,,Emmen, Netherlands
Kieran Robson,California Baptist University,Jr,Winger,5'10,160,,Redlands, Calif.
Dominic De Almeida,California Baptist University,Gr,Defender,5'8,160,,Lincoln Park, N.J.
Danny Hernandez,California Baptist University,So,Striker,6'1,180,,Riverside, Calif.
Tizian Marth,California Baptist University,Fr,Midfielder,5'8,152,,Neufeld, Austria
Alex Mendez,California Baptist University,Jr,Midfielder,5'11,157,,East Los Angeles, Calif.
Luke Fischer,California Baptist University,Fr,Defender,6'2,190,,Highlands Ranch, Colo.
Luca Contestabile,California Baptist University,Gr,Midfielder,6'1,175,,Chaska, Minn.
Blake D'Agostino,California Baptist University,Fr,Striker,6'2,190,,Greenwood Village, Colo.
Andrew Lovell,California Baptist University,Fr,Striker,5'8,140,,Kaneohe, Hawaii
Uly Martinez,California Baptist University,Jr,Defender,5'6,148,,Mount Angel, Ore.
Easton Hoch,California Baptist University,Fr,Winger,5'8,145,,Zurich, Switzerland
Kristian Johnson,California Baptist University,So,Defender,5'10,165,,Redlands, Calif.
Jiro Uchida,California Baptist University,Fr,Winger,5'7,130,,Tempe, AZ
Luka Kozomara,California Baptist University,Sr,Winger,6'3,165,,Cliffside Park, N.J.
Tate Glock,California Baptist University,Fr,Goalkeeper,6'3,175,,Eugene, Ore.
Ethan Russell,California Baptist University,Sr,Goalkeeper,6'2,205,,Winchester, Vir.
Nicky McCune,California Polytechnic State University – San Luis Obispo,Sr,GK,6'2,185,,San Ramon, CA
Joaquin Torres,California Polytechnic State University – San Luis Obispo,Jr,D,6'2,180,,Denver, CO
Cole Aman,California Polytechnic State University – San Luis Obispo,R-Fr,D/MF,5'8,150,,Portland, OR
Parker Owens (C),California Polytechnic State University – San Luis Obispo,Jr,D,6'4,190,,Southlake, TX
Nico Baltazar,California Polytechnic State University – San Luis Obispo,Sr,D,6'0,150,,Los Angeles, CA
Jackson Miller,California Polytechnic State University – San Luis Obispo,Jr,MF,6'0,180,,San Diego, CA
Bakuena Ramakatsa,California Polytechnic State University – San Luis Obispo,Sr,MF,5'11,155,,Quthing, Lesotho
Diego Guerra,California Polytechnic State University – San Luis Obispo,Jr,MF,6'2,190,,Fresno, CA
Sean McTague,California Polytechnic State University – San Luis Obispo,R-Jr,F/W,5'8,155,,Mission Viejo, CA
Rylan Firouznam,California Polytechnic State University – San Luis Obispo,R-So,MF,5'9,150,,Yorba Linda, CA
Oren Stuppel,California Polytechnic State University – San Luis Obispo,Sr,F/W,5'8,160,,Los Angeles, CA
Tanner Casey,California Polytechnic State University – San Luis Obispo,Fr,D,6'4,195,,Ladera Ranch, CA
Finn Linas,California Polytechnic State University – San Luis Obispo,So,F,5'10,155,,San Clemente, CA
Roman Anast,California Polytechnic State University – San Luis Obispo,So,F,6'0,175,,Loomis, CA
Jake Oetinger,California Polytechnic State University – San Luis Obispo,Sr,CB,6'1,175,,Gilroy, CA
Michael Vick,California Polytechnic State University – San Luis Obispo,R-Fr,D,5'11,175,,Kinvara, Ireland
Jack Civitts,California Polytechnic State University – San Luis Obispo,Jr,F,6'0,150,,Issaquah, WA
Colin Pearce,California Polytechnic State University – San Luis Obispo,So,F,6'1,180,,San Jose, CA
Quinn Mahoney,California Polytechnic State University – San Luis Obispo,So,MF,6'0,172,,Sacramento, CA
Keagan Rhodes,California Polytechnic State University – San Luis Obispo,Jr,D,6'0,155,,San Jose, CA
Jason Castro,California Polytechnic State University – San Luis Obispo,Fr,MF,5'9,150,,East Los Angeles, CA
Luke Schaefer,California Polytechnic State University – San Luis Obispo,Sr,F,6'1,165,,Chandler, AZ
Charlie Hogan,California Polytechnic State University – San Luis Obispo,So,D,6'0,170,,Walnut Creek, CA
Benji Jimenez,California Polytechnic State University – San Luis Obispo,Jr,MF,5'8,150,,Bakersfield, CA
Marlow Buettner,California Polytechnic State University – San Luis Obispo,So,D,6'5,195,,Berkeley, CA
Ben Oetman,California Polytechnic State University – San Luis Obispo,R-Fr,GK,6'3,190,,San Luis Obispo, CA
Dylan Glowaski,California Polytechnic State University – San Luis Obispo,R-Fr,GK,6'3,185,,Woodland Hills, CA
Zenden Hart,California State University – Bakersfield,Sr,Goalkeeper,6'0,160,,Central Coast, Australia
Bogart Roca,California State University – Bakersfield,Sr,Defender,5'8,155,,Sylmar, Calif.
Diego Mireles,California State University – Bakersfield,Sr,Defender,6'1,170,,Lancaster, Calif.
Luka Geishauser,California State University – Bakersfield,Jr,Defender,6'2,190,,Dusseldorf, Germany
Bilal Mihoubi,California State University – Bakersfield,Gr,Forward,5'11,155,,Montreal, Quebec
Francesco Aiello,California State University – Bakersfield,Jr,Forward,6'1,180,,,
Jesse Wangusi,California State University – Bakersfield,Jr,Midfielder/Forward,6'2,175,,Milton Keynes, England
Alec Aceves,California State University – Bakersfield,Jr,Defender,5'8,165,,Temecula, Calif.
Sebastian Toppila,California State University – Bakersfield,So,Midfielder,6'1,170,,Bakersfield, Calif.
