name
Adrian College
Albertus Magnus College
Albion College
Albright College
Alfred State College
Alfred University
Allegheny College
Alma College
Alvernia University
Amherst College
Anderson University – Indiana
Anna Maria College
Arcadia University
Asbury University
Augsburg University
Augustana College – Illinois
Aurora University
Austin College
Averett University
Babson College
Baldwin Wallace University
Bard College
Bates College
Belhaven University
Beloit College
Benedictine University
Berea College
Berry College
Bethany College – West Virginia
Bethany Lutheran College
Bethel University – Minnesota
Blackburn College
Bluffton University
Bob Jones University
Bowdoin College
Brandeis University
Brevard College
Bridgewater College
Bridgewater State University
Bryn Athyn College
Buena Vista University
Cairn University
California Institute of Technology
California Lutheran University
Calvin University
Capital University
Carleton College
Carlow University
Carnegie Mellon University
Carroll University
Carthage College
Case Western Reserve University
Catholic University of America
Centenary College of Louisiana
Centenary University – New Jersey
Central College
Centre College
Chapman University
Chatham University
Christopher Newport University
Claremont-Mudd-Scripps Colleges
Clark University
Clarks Summit University
Clarkson University
Coe College
Colby College
Colby-Sawyer College
College of Wooster
Colorado College
Concordia College – Minnesota
Concordia University – Chicago
Concordia University – Texas
Concordia University Wisconsin
Connecticut College
Cornell College
Covenant College
Crown College
Curry College
Dean College
Delaware Valley University
Denison University
DePauw University
DeSales University
Dickinson College
Dominican University – Illinois
Drew University
Earlham College
East Texas Baptist University
Eastern Connecticut State University
Eastern Mennonite University
Eastern Nazarene College
Eastern University
Edgewood College
Elizabethtown College
Elmhurst University
Elmira College
Elms College
Emerson College
Emmanuel College – Massachusetts
Emory University
Endicott College
Eureka College
Fairleigh Dickinson University – College at Florham
Ferrum College
Fitchburg State University
Framingham State University
Franciscan University of Steubenville
Franklin & Marshall College
Franklin College
Gallaudet University
Geneva College
George Fox University
Gettysburg College
Gordon College
Goucher College
Grace Christian University
Greensboro College
Greenville University
Grinnell College
Grove City College
Guilford College
Gustavus Adolphus College
Gwynedd Mercy University
Hamilton College
Hamline University
Hampden-Sydney College
Hanover College
Hardin-Simmons University
Hartwick College
Haverford College
Heidelberg University
Hendrix College
Hilbert College
Hiram College
Hobart & William Smith College
Hood College
Hope College
Houghton University
Howard Payne University
Huntingdon College
Husson University
Illinois College
Illinois Institute of Technology
Illinois Wesleyan University
Immaculata University
Ithaca College
John Carroll University
Johns Hopkins University
Johnson & Wales University – Charlotte
Johnson & Wales University – Providence
Juniata College
Kalamazoo College
Kean University
Keene State College
Kenyon College
Keuka College
Keystone College
King's College – Pennsylvania
Knox College
La Roche University
LaGrange College
Lake Forest College
Lakeland University
Lancaster Bible College
Lasell University
Lawrence University
Lebanon Valley College
Lesley University
LeTourneau University
Lewis & Clark College
Linfield University
Loras College
Luther College
Lycoming College
Lyon College
Macalester College
Maine Maritime Academy
Manchester University
Manhattan Christian College
Manhattanville College
Maranatha Baptist University
Marian University – Wisconsin
Marietta College
Martin Luther College
Mary Baldwin University
Marymount University (VA)
Maryville College
Marywood University
Massachusetts College of Liberal Arts
Massachusetts Institute of Technology – MIT
Massachusetts Maritime Academy
McDaniel College
McMurry University
Messiah University
Methodist University
Middlebury College
Millikin University
Millsaps College
Milwaukee School of Engineering
Misericordia University
Mitchell College
Monmouth College
Montclair State University
Moravian University
Mount Aloysius College
Mount Saint Mary College – New York
Mount St. Joseph University
Muhlenberg College
Muskingum University
Nazareth University
Nebraska Wesleyan University
Neumann University
New England College
New Jersey City University
New York University
Nichols College
