name,link,template
American University,https://aueagles.com/sports/mens-soccer/roster,1.0
Bellarmine University,https://athletics.bellarmine.edu/sports/mens-soccer/roster,1.0
Belmont University,https://belmontbruins.com/sports/mens-soccer/roster,1.0
Boston College,https://bceagles.com/sports/mens-soccer/roster,2.0
Boston University,https://goterriers.com/sports/mens-soccer/roster,1.0
Bowling Green State University,https://bgsufalcons.com/sports/mens-soccer/roster,2.0
Bradley University,https://bradleybraves.com/sports/mens-soccer/roster,
Brown University,https://brownbears.com/sports/mens-soccer/roster,2.0
Bryant University,https://bryantbulldogs.com/sports/mens-soccer/roster,1.0
Bucknell University,https://bucknellbison.com/sports/mens-soccer/roster,2.0
Butler University,https://butlersports.com/sports/mens-soccer/roster,1.0
California Baptist University,https://cbulancers.com/sports/mens-soccer/roster,1.0
California Polytechnic State University – San Luis Obispo,https://gopoly.com/sports/mens-soccer/roster,1.0
California State University – Bakersfield,https://gorunners.com/sports/mens-soccer/roster,1.0
California State University – Fullerton,https://fullertontitans.com/sports/mens-soccer/roster,1.0
California State University – Northridge,https://gomatadors.com/sports/mens-soccer/roster,1.0
California State University – Sacramento,https://hornetsports.com/sports/mens-soccer/roster,1.0
Campbell University,https://gocamels.com/sports/mens-soccer/roster,1.0
Canisius University,https://gogriffs.com/sports/mens-soccer/roster,1.0
Central Connecticut State University,https://ccsubluedevils.com/sports/msoc/2024-25/roster,
Chicago State University,https://www.gocsucougars.com/sports/mens-soccer/roster,1.0
Clemson University,https://clemsontigers.com/sports/mens-soccer/roster/season/2024/,
Cleveland State University,https://csuvikings.com/sports/mens-soccer/roster,1.0
Coastal Carolina University,https://goccusports.com/sports/mens-soccer/roster,3.0
Colgate University,https://colgateathletics.com/sports/mens-soccer/roster,1.0
College of Charleston,https://cofcsports.com/sports/mens-soccer/roster,1.0
College of the Holy Cross,https://goholycross.com/sports/mens-soccer/roster,1.0
Columbia University,https://gocolumbialions.com/sports/mens-soccer/roster,1.0
Cornell University,https://cornellbigred.com/sports/mens-soccer/roster,1.0
Creighton University,https://gocreighton.com/sports/mens-soccer/roster,2.0
Dartmouth College,https://dartmouthsports.com/sports/mens-soccer/roster,1.0
Davidson College,https://davidsonwildcats.com/sports/mens-soccer/roster,2.0
DePaul University,https://depaulbluedemons.com/sports/mens-soccer/roster/2025,2.0
Drake University,https://godrakebulldogs.com/sports/mens-soccer/roster,1.0
Drexel University,https://drexeldragons.com/sports/mens-soccer/roster,2.0
Duke University,https://goduke.com/sports/mens-soccer/roster,2.0
Duquesne University,https://goduquesne.com/sports/mens-soccer/roster,1.0
East Tennessee State University,https://etsubucs.com/sports/mens-soccer/roster,1.0
Eastern Illinois University,https://eiupanthers.com/sports/mens-soccer/roster,1.0
Elon University,https://elonphoenix.com/sports/mens-soccer/roster,1.0
Fairfield University,https://fairfieldstags.com/sports/mens-soccer/roster,1.0
Fairleigh Dickinson University,https://fduknights.com/sports/mens-soccer/roster,1.0
Florida Atlantic University,https://fausports.com/sports/mens-soccer/roster,2.0
Florida Gulf Coast University,https://fgcuathletics.com/sports/mens-soccer/roster,1.0
Florida International University,https://fiusports.com/sports/mens-soccer/roster,1.0
Fordham University,https://fordhamsports.com/sports/mens-soccer/roster,1.0
Formerly Dixie State University,https://utahtechtrailblazers.com/sports/mens-soccer/roster,1.0
Furman University,https://furmanpaladins.com/sports/mens-soccer/roster,1.0
Gardner-Webb University,https://gwusports.com/sports/mens-soccer/roster,1.0
George Mason University,https://gomason.com/sports/mens-soccer/roster,
George Washington University,https://gwsports.com/sports/mens-soccer/roster,2.0
Georgetown University,https://guhoyas.com/sports/mens-soccer/roster,1.0
Georgia Southern University,https://gseagles.com/sports/mens-soccer/roster,1.0
Georgia State University,https://georgiastatesports.com/sports/mens-soccer/roster,1.0
Gonzaga University,https://gozags.com/sports/mens-soccer/roster,1.0
Grand Canyon University,https://gculopes.com/sports/mens-soccer/roster,1.0
Harvard University,https://gocrimson.com/sports/mens-soccer/roster,1.0
High Point University,https://highpointpanthers.com/sports/mens-soccer/roster,1.0
Hofstra University,https://gohofstra.com/sports/mens-soccer/roster,1.0
Houston Christian University,https://hcuhuskies.com/sports/mens-soccer/roster,1.0
Howard University,https://hubison.com/sports/mens-soccer/roster,1.0
Indiana University,https://iuhoosiers.com/sports/mens-soccer/roster,2.0
Indiana University-Purdue University – Indianapolis (IUPUI),https://iuindyjags.com/sports/mens-soccer/roster,1.0
Iona University,https://ionagaels.com/sports/mens-soccer/roster,1.0
Jacksonville University,https://judolphins.com/sports/mens-soccer/roster,1.0
James Madison University,https://jmusports.com/sports/mens-soccer/roster,2.0
La Salle University,https://goexplorers.com/sports/mens-soccer/roster,1.0
Lafayette College,https://goleopards.com/sports/mens-soccer/roster,1.0
Le Moyne College,https://lemoynedolphins.com/sports/mens-soccer/roster,1.0
Lehigh University,https://lehighsports.com/sports/mens-soccer/roster,2.0
Liberty University,https://libertyflames.com/sports/mens-soccer/roster,2.0
Lindenwood University,https://lindenwoodlions.com/sports/mens-soccer/roster,1.0
Lipscomb University,https://lipscombsports.com/sports/mens-soccer/roster,1.0
Long Island University,https://www.liuathletics.com/sports/mens-soccer/roster,1.0
Longwood University,https://longwoodlancers.com/sports/mens-soccer/roster,1.0
Loyola Marymount University,https://lmulions.com/sports/mens-soccer/roster,1.0
Loyola University Chicago,https://loyolaramblers.com/sports/mens-soccer/roster,1.0
Loyola University Maryland,https://loyolagreyhounds.com/sports/mens-soccer/roster,3.0
Manhattan University,https://gojaspers.com/sports/mens-soccer/roster,1.0
Marist College,https://goredfoxes.com/sports/mens-soccer/roster,1.0
Marquette University,https://gomarquette.com/sports/mens-soccer/roster,2.0
Marshall University,https://herdzone.com/sports/mens-soccer/roster,
Mercer University,https://mercerbears.com/sports/mens-soccer/roster,1.0
Mercyhurst University,https://hurstathletics.com/sports/mens-soccer/roster,1.0
Merrimack College,https://merrimackathletics.com/sports/mens-soccer/roster,1.0
Michigan State University,https://msuspartans.com/sports/mens-soccer/roster,2.0
Missouri State University,https://missouristatebears.com/sports/mens-soccer/roster,1.0
Monmouth University,https://monmouthhawks.com/sports/mens-soccer/roster,1.0
Mount St. Mary's University,https://mountathletics.com/sports/mens-soccer/roster,1.0
New Jersey Institute of Technology,https://njithighlanders.com/sports/mens-soccer/roster/2025,1.0
Niagara University,https://purpleeagles.com/sports/mens-soccer/roster,1.0
North Carolina State University,https://gopack.com/sports/mens-soccer/roster,2.0
Northeastern University,https://nuhuskies.com/sports/mens-soccer/roster,1.0
Northern Illinois University,https://niuhuskies.com/sports/mens-soccer/roster,1.0
Northern Kentucky University,https://nkunorse.com/sports/mens-soccer/roster,1.0
Northwestern University,https://nusports.com/sports/mens-soccer/roster,2.0
